name,gender,name_owner
VICKI,F,null
VIVIAN,F,null
EMMA,F,null
GEORGIA,F,null
LILLIAN,F,null
EDITH,F,null
PAULINE,F,null
WILMA,F,null
VICTORIA,F,null
ETHEL,F,null
LUCILLE,F,null
FLORENCE,F,null
SARA,F,null
MARGIE,F,null
THELMA,F,null
CLARA,F,null
AUDREY,F,null
GRACE,F,null
TERESA,F,null
ANNETTE,F,null
CLAUDIA,F,null
GLADYS,F,null
JULIE,F,null
MARION,F,null
GWENDOLYN,F,null
PRISCILLA,F,null
WILLIE,F,null
ESTHER,F,null
EVA,F,null
ANDREA,F,null
MARYANN,F,null
BERNICE,F,null
ROSA,F,null
HAZEL,F,null
BILLIE,F,null
BERTHA,F,null
GAYLE,F,null
BOBBIE,F,null
PAT,F,null
MAXINE,F,null
MARIAN,F,null
ELLA,F,null
PAULETTE,F,null
JOY,F,null
BEATRICE,F,null
CATHY,F,null
LILLIE,F,null
JANIS,F,null
LESLIE,F,null
IDA,F,null
LYNNE,F,null
DEANNA,F,null
FAYE,F,null
TERRY,F,null
VALERIE,F,null
RACHEL,F,null
EMILY,F,null
LUCY,F,null
JANIE,F,null
PENNY,F,null
JACKIE,F,null
HARRIET,F,null
REGINA,F,null
ROSALIE,F,null
ALMA,F,null
ANGELA,F,null
VERA,F,null
JESSIE,F,null
MARIANNE,F,null
STEPHANIE,F,null
JILL,F,null
MATTIE,F,null
MINNIE,F,null
CAROLINE,F,null
MICHELE,F,null
VERONICA,F,null
PATTY,F,null
ROSIE,F,null
STELLA,F,null
ELSIE,F,null
BESSIE,F,null
CARRIE,F,null
ROSEMARIE,F,null
SHERYL,F,null
JENNIFER,F,null
CARMEN,F,null
JACQUELYN,F,null
COLLEEN,F,null
BONITA,F,null
CLAIRE,F,null
NELLIE,F,null
LANA,F,null
DENISE,F,null
DIANNA,F,null
VICKIE,F,null
DIXIE,F,null
TONI,F,null
JOHNNIE,F,null
DORA,F,null
JEANNETTE,F,null
MADELINE,F,null
AGNES,F,null
NINA,F,null
CARLA,F,null
GENEVA,F,null
NORA,F,null
VELMA,F,null
SUSIE,F,null
LYDIA,F,null
LEONA,F,null
DELORIS,F,null
MAE,F,null
NAOMI,F,null
MYRA,F,null
CHRISTINA,F,null
CORA,F,null
JAN,F,null
BETH,F,null
DAWN,F,null
BERNADETTE,F,null
WENDY,F,null
YOLANDA,F,null
ALBERTA,F,null
VIOLA,F,null
ANTOINETTE,F,null
SANDY,F,null
MYRNA,F,null
MARGUERITE,F,null
CECILIA,F,null
ERNESTINE,F,null
GERTRUDE,F,null
VERNA,F,null
HATTIE,F,null
RENEE,F,null
IRIS,F,null
RAMONA,F,null
PEARL,F,null
IRMA,F,null
BECKY,F,null
LOLA,F,null
HILDA,F,null
LENA,F,null
CECELIA,F,null
LULA,F,null
MYRTLE,F,null
FRANCINE,F,null
OLIVIA,F,null
MIRIAM,F,null
EUNICE,F,null
BETTE,F,null
JENNIE,F,null
BETSY,F,null
BETTYE,F,null
DAISY,F,null
BETTIE,F,null
SAUNDRA,F,null
LEE,F,null
SONDRA,F,null
MARCELLA,F,null
CANDACE,F,null
VIOLET,F,null
ERMA,F,null
SHARRON,F,null
FANNIE,F,null
PENELOPE,F,null
DELLA,F,null
TRUDY,F,null
KATIE,F,null
ROBIN,F,null
FLORA,F,null
ADA,F,null
ELOISE,F,null
LAVERNE,F,null
MAMIE,F,null
MICHELLE,F,null
MELBA,F,null
HENRIETTA,F,null
DALE,F,null
CINDY,F,null
DOREEN,F,null
DEBRA,F,null
DANA,F,null
MELINDA,F,null
AMY,F,null
SUSANNE,F,null
AMELIA,F,null
NADINE,F,null
JEANNIE,F,null
LAURIE,F,null
GRETCHEN,F,null
VICKY,F,null
GLENNA,F,null
GENEVIEVE,F,null
SALLIE,F,null
FRANKIE,F,null
SONJA,F,null
CLAUDETTE,F,null
MELANIE,F,null
MAGGIE,F,null
ALICIA,F,null
JERRY,F,null
HELENE,F,null
MABLE,F,null
GALE,F,null
SHELBY,F,null
LAUREL,F,null
NELDA,F,null
REBA,F,null
RHONDA,F,null
ROSETTA,F,null
GUADALUPE,F,null
MARGO,F,null
FREDA,F,null
INEZ,F,null
LOU,F,null
JOANNA,F,null
MURIEL,F,null
MONICA,F,null
FAITH,F,null
CAMILLE,F,null
ROCHELLE,F,null
PATTI,F,null
LORNA,F,null
BEULAH,F,null
ROSALIND,F,null
